trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.9, 'e': 0.8537822855004545}",30,-100,-605.8548722813784,"{0: 81, 1: 12, 2: 23, 3: 6, 4: 8}",0
159,False,"{'a': 0.9, 'e': 0.8529285032149541}",20,-30,-81.7318139855378,"{0: 35, 1: 4, 2: 10, 3: 1, 4: 0}",0
160,False,"{'a': 0.9, 'e': 0.8520755747117391}",20,-36,-120.3963382645715,"{0: 40, 1: 4, 2: 9, 3: 2, 4: 1}",0
161,False,"{'a': 0.9, 'e': 0.8512234991370274}",20,-15,-119.89610776307278,"{0: 24, 1: 4, 2: 4, 3: 1, 4: 2}",0
162,False,"{'a': 0.9, 'e': 0.8503722756378904}",20,-100,-358.3425731598532,"{0: 85, 1: 10, 2: 15, 3: 5, 4: 5}",0
163,False,"{'a': 0.9, 'e': 0.8495219033622525}",25,-84,-356.6762816768278,"{0: 75, 1: 4, 2: 24, 3: 1, 4: 5}",0
164,False,"{'a': 0.9, 'e': 0.8486723814588902}",20,-9,-104.47174295609041,"{0: 22, 1: 3, 2: 1, 3: 0, 4: 3}",0
165,False,"{'a': 0.9, 'e': 0.8478237090774313}",20,1,-43.14229396638557,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
166,False,"{'a': 0.9, 'e': 0.8469758853683539}",25,-73,-347.01353571044973,"{0: 63, 1: 11, 2: 17, 3: 3, 4: 4}",0
167,False,"{'a': 0.9, 'e': 0.8461289094829856}",20,-39,-276.1798252518998,"{0: 41, 1: 4, 2: 5, 3: 4, 4: 5}",0
168,False,"{'a': 0.9, 'e': 0.8452827805735026}",25,-100,-338.4404860798741,"{0: 88, 1: 12, 2: 17, 3: 4, 4: 4}",0
169,False,"{'a': 0.9, 'e': 0.8444374977929291}",20,-38,-226.2926875008502,"{0: 40, 1: 2, 2: 12, 3: 0, 4: 4}",0
170,False,"{'a': 0.9, 'e': 0.8435930602951361}",20,-53,-243.34699526007947,"{0: 50, 1: 5, 2: 12, 3: 3, 4: 3}",0
171,False,"{'a': 0.9, 'e': 0.842749467234841}",20,12,11.84570381969108,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.9, 'e': 0.8419067177676062}",35,-100,-583.1541228550541,"{0: 86, 1: 13, 2: 25, 3: 3, 4: 8}",0
173,False,"{'a': 0.9, 'e': 0.8410648110498385}",30,-18,-212.41933492016648,"{0: 33, 1: 3, 2: 7, 3: 1, 4: 4}",0
174,False,"{'a': 0.9, 'e': 0.8402237462387887}",20,-42,-251.12140656713174,"{0: 40, 1: 8, 2: 8, 3: 2, 4: 4}",0
175,False,"{'a': 0.9, 'e': 0.8393835224925499}",30,-38,-244.74347957390947,"{0: 48, 1: 2, 2: 11, 3: 4, 4: 3}",0
176,False,"{'a': 0.9, 'e': 0.8385441389700574}",25,-12,-65.06385325513287,"{0: 28, 1: 2, 2: 6, 3: 0, 4: 1}",0
177,False,"{'a': 0.9, 'e': 0.8377055948310873}",30,-74,-415.910404990499,"{0: 67, 1: 8, 2: 21, 3: 3, 4: 5}",0
178,False,"{'a': 0.9, 'e': 0.8368678892362562}",25,11,-5.632232664647573,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 0}",1
179,False,"{'a': 0.9, 'e': 0.83603102134702}",20,-40,-213.5818772049502,"{0: 41, 1: 0, 2: 15, 3: 2, 4: 2}",0
